"sampleID","colnames","scenario","CurveID","func","param","error","x_true_peak","true_peaked","C_0.625","C_0.875","C_0.600","C_0.800","C_0.500","C_incl_peak","n_CI","n_peak","n_trough"
6544,"X6544","norm-var-mean60.5","norm-var-mean6","norm-var-mean",6,0.5,0.6,1,1,0,1,1,1,1,1,1,0
6545,"X6545","norm-var-mean60.2","norm-var-mean6","norm-var-mean",6,0.2,0.6,1,1,0,1,0,0,1,1,1,0
6546,"X6546","norm-var-mean60.3","norm-var-mean6","norm-var-mean",6,0.3,0.6,1,1,0,1,0,1,1,1,1,0
6547,"X6547","norm-var-mean60.4","norm-var-mean6","norm-var-mean",6,0.4,0.6,1,0,0,0,0,0,0,0,0,0
6548,"X6548","norm-var-mean60.5","norm-var-mean6","norm-var-mean",6,0.5,0.6,1,0,0,0,0,0,0,0,0,0
6549,"X6549","norm-var-mean60.2","norm-var-mean6","norm-var-mean",6,0.2,0.6,1,1,0,1,0,0,1,1,1,0
6550,"X6550","norm-var-mean60.3","norm-var-mean6","norm-var-mean",6,0.3,0.6,1,0,0,0,0,0,0,0,0,0
6551,"X6551","norm-var-mean60.4","norm-var-mean6","norm-var-mean",6,0.4,0.6,1,1,0,1,0,1,1,1,1,0
6552,"X6552","norm-var-mean60.5","norm-var-mean6","norm-var-mean",6,0.5,0.6,1,0,0,0,0,0,0,0,0,0
6553,"X6553","norm-var-mean60.2","norm-var-mean6","norm-var-mean",6,0.2,0.6,1,1,0,1,0,0,1,1,1,0
6554,"X6554","norm-var-mean60.3","norm-var-mean6","norm-var-mean",6,0.3,0.6,1,1,0,1,1,1,1,1,1,0
6555,"X6555","norm-var-mean60.4","norm-var-mean6","norm-var-mean",6,0.4,0.6,1,1,0,1,1,0,1,1,1,0
6556,"X6556","norm-var-mean60.5","norm-var-mean6","norm-var-mean",6,0.5,0.6,1,0,0,0,0,0,0,0,0,0
6557,"X6557","norm-var-mean60.2","norm-var-mean6","norm-var-mean",6,0.2,0.6,1,1,0,1,0,0,1,1,1,0
6558,"X6558","norm-var-mean60.3","norm-var-mean6","norm-var-mean",6,0.3,0.6,1,1,0,1,0,0,1,1,1,0
6559,"X6559","norm-var-mean60.4","norm-var-mean6","norm-var-mean",6,0.4,0.6,1,0,0,0,0,0,0,0,0,0
6560,"X6560","norm-var-mean60.5","norm-var-mean6","norm-var-mean",6,0.5,0.6,1,1,0,1,0,1,1,1,1,0
6561,"X6561","norm-var-mean60.2","norm-var-mean6","norm-var-mean",6,0.2,0.6,1,1,0,1,0,0,1,1,1,0
6562,"X6562","norm-var-mean60.3","norm-var-mean6","norm-var-mean",6,0.3,0.6,1,0,0,0,0,0,0,0,0,0
6563,"X6563","norm-var-mean60.4","norm-var-mean6","norm-var-mean",6,0.4,0.6,1,0,0,0,0,0,0,0,0,0
6564,"X6564","norm-var-mean60.5","norm-var-mean6","norm-var-mean",6,0.5,0.6,1,1,0,1,0,1,1,1,1,0
6565,"X6565","norm-var-mean60.2","norm-var-mean6","norm-var-mean",6,0.2,0.6,1,1,0,1,0,1,1,1,1,0
6566,"X6566","norm-var-mean60.3","norm-var-mean6","norm-var-mean",6,0.3,0.6,1,0,0,0,0,0,0,0,0,0
6567,"X6567","norm-var-mean60.4","norm-var-mean6","norm-var-mean",6,0.4,0.6,1,1,0,1,0,1,1,1,1,0
6568,"X6568","norm-var-mean60.5","norm-var-mean6","norm-var-mean",6,0.5,0.6,1,0,1,0,1,0,0,1,1,0
6569,"X6569","norm-var-mean60.2","norm-var-mean6","norm-var-mean",6,0.2,0.6,1,1,0,1,0,0,1,2,1,1
6570,"X6570","norm-var-mean60.3","norm-var-mean6","norm-var-mean",6,0.3,0.6,1,1,0,1,0,1,1,1,1,0
6571,"X6571","norm-var-mean60.4","norm-var-mean6","norm-var-mean",6,0.4,0.6,1,0,0,0,0,0,0,0,0,0
6572,"X6572","norm-var-mean60.5","norm-var-mean6","norm-var-mean",6,0.5,0.6,1,1,0,1,0,1,1,1,1,0
6573,"X6573","norm-var-mean60.2","norm-var-mean6","norm-var-mean",6,0.2,0.6,1,1,0,1,0,1,1,1,1,0
6574,"X6574","norm-var-mean60.3","norm-var-mean6","norm-var-mean",6,0.3,0.6,1,0,0,0,0,0,0,0,0,0
6575,"X6575","norm-var-mean60.4","norm-var-mean6","norm-var-mean",6,0.4,0.6,1,1,0,1,0,0,1,1,1,0
6576,"X6576","norm-var-mean60.5","norm-var-mean6","norm-var-mean",6,0.5,0.6,1,0,0,0,0,0,0,0,0,0
6577,"X6577","norm-var-mean60.2","norm-var-mean6","norm-var-mean",6,0.2,0.6,1,1,0,1,0,0,1,1,1,0
6578,"X6578","norm-var-mean60.3","norm-var-mean6","norm-var-mean",6,0.3,0.6,1,0,0,0,0,1,0,1,1,0
6579,"X6579","norm-var-mean60.4","norm-var-mean6","norm-var-mean",6,0.4,0.6,1,0,0,0,0,0,0,0,0,0
6580,"X6580","norm-var-mean60.5","norm-var-mean6","norm-var-mean",6,0.5,0.6,1,1,0,1,0,1,1,1,1,0
6581,"X6581","norm-var-mean60.2","norm-var-mean6","norm-var-mean",6,0.2,0.6,1,1,0,1,0,0,1,1,1,0
6582,"X6582","norm-var-mean60.3","norm-var-mean6","norm-var-mean",6,0.3,0.6,1,1,1,1,1,0,1,1,1,0
6583,"X6583","norm-var-mean60.4","norm-var-mean6","norm-var-mean",6,0.4,0.6,1,0,0,0,0,0,0,0,0,0
6584,"X6584","norm-var-mean60.5","norm-var-mean6","norm-var-mean",6,0.5,0.6,1,1,0,1,1,1,1,1,1,0
6585,"X6585","norm-var-mean60.2","norm-var-mean6","norm-var-mean",6,0.2,0.6,1,1,0,1,0,0,1,1,1,0
6586,"X6586","norm-var-mean60.3","norm-var-mean6","norm-var-mean",6,0.3,0.6,1,0,0,0,0,0,0,0,0,0
6587,"X6587","norm-var-mean60.4","norm-var-mean6","norm-var-mean",6,0.4,0.6,1,1,0,1,0,1,1,1,1,0
6588,"X6588","norm-var-mean60.5","norm-var-mean6","norm-var-mean",6,0.5,0.6,1,0,0,0,0,0,0,0,0,0
6589,"X6589","norm-var-mean60.2","norm-var-mean6","norm-var-mean",6,0.2,0.6,1,1,0,1,0,1,1,1,1,0
6590,"X6590","norm-var-mean60.3","norm-var-mean6","norm-var-mean",6,0.3,0.6,1,1,0,1,0,0,1,2,1,1
6591,"X6591","norm-var-mean60.4","norm-var-mean6","norm-var-mean",6,0.4,0.6,1,1,0,1,0,0,1,1,1,0
6592,"X6592","norm-var-mean60.5","norm-var-mean6","norm-var-mean",6,0.5,0.6,1,1,0,1,0,1,1,1,1,0
6593,"X6593","norm-var-mean60.2","norm-var-mean6","norm-var-mean",6,0.2,0.6,1,1,0,1,0,0,1,1,1,0
6594,"X6594","norm-var-mean60.3","norm-var-mean6","norm-var-mean",6,0.3,0.6,1,0,0,0,0,0,0,0,0,0
6595,"X6595","norm-var-mean60.4","norm-var-mean6","norm-var-mean",6,0.4,0.6,1,1,0,1,0,0,1,1,1,0
6596,"X6596","norm-var-mean60.5","norm-var-mean6","norm-var-mean",6,0.5,0.6,1,1,0,1,0,1,1,1,1,0
6597,"X6597","norm-var-mean60.2","norm-var-mean6","norm-var-mean",6,0.2,0.6,1,1,0,1,0,0,1,1,1,0
6598,"X6598","norm-var-mean60.3","norm-var-mean6","norm-var-mean",6,0.3,0.6,1,0,0,0,0,0,0,0,0,0
6599,"X6599","norm-var-mean60.4","norm-var-mean6","norm-var-mean",6,0.4,0.6,1,0,0,0,0,0,0,0,0,0
6600,"X6600","norm-var-mean60.5","norm-var-mean6","norm-var-mean",6,0.5,0.6,1,0,0,0,0,0,0,0,0,0
6601,"X6601","norm-var-mean60.2","norm-var-mean6","norm-var-mean",6,0.2,0.6,1,1,0,1,0,1,1,1,1,0
6602,"X6602","norm-var-mean60.3","norm-var-mean6","norm-var-mean",6,0.3,0.6,1,1,0,1,1,0,1,1,1,0
6603,"X6603","norm-var-mean60.4","norm-var-mean6","norm-var-mean",6,0.4,0.6,1,0,0,0,0,0,0,0,0,0
6604,"X6604","norm-var-mean60.5","norm-var-mean6","norm-var-mean",6,0.5,0.6,1,0,0,0,0,0,0,0,0,0
6605,"X6605","norm-var-mean60.2","norm-var-mean6","norm-var-mean",6,0.2,0.6,1,1,0,1,0,0,1,1,1,0
6606,"X6606","norm-var-mean60.3","norm-var-mean6","norm-var-mean",6,0.3,0.6,1,0,0,0,0,0,0,0,0,0
6607,"X6607","norm-var-mean60.4","norm-var-mean6","norm-var-mean",6,0.4,0.6,1,0,0,0,0,0,0,1,0,1
6608,"X6608","norm-var-mean60.5","norm-var-mean6","norm-var-mean",6,0.5,0.6,1,0,0,0,0,0,0,0,0,0
6609,"X6609","norm-var-mean60.2","norm-var-mean6","norm-var-mean",6,0.2,0.6,1,1,0,1,0,0,1,1,1,0
6610,"X6610","norm-var-mean60.3","norm-var-mean6","norm-var-mean",6,0.3,0.6,1,1,0,1,0,1,1,1,1,0
