"sampleID","param","error","scam_p","scam_u","quad_u","rmax_u","rmed_u","rprop_u","lines3_u","func","CurveID","SN"
4741,2,0.2,0.256539665046884,0,0,0,0,0,0,"linear","linear2",5
4745,2,0.2,0.00214845569039671,1,0,0,0,0,0,"linear","linear2",5
4749,2,0.2,0.762861816433728,0,0,0,0,0,0,"linear","linear2",5
4753,2,0.2,0.01665384583496,1,0,0,0,0,0,"linear","linear2",5
4757,2,0.2,0.666321583538484,0,0,0,0,0,0,"linear","linear2",5
4761,2,0.2,0.691726246973112,0,0,0,0,0,0,"linear","linear2",5
4765,2,0.2,0.0396049747065309,1,0,0,0,0,0,"linear","linear2",5
4769,2,0.2,0.129165347912469,0,0,0,0,0,0,"linear","linear2",5
4773,2,0.2,0.862245395942991,0,0,0,0,0,0,"linear","linear2",5
4777,2,0.2,0.231315350600998,0,0,0,0,0,0,"linear","linear2",5
4781,2,0.2,0.119130908326387,0,0,0,0,0,0,"linear","linear2",5
4785,2,0.2,0.910351259004577,0,0,0,0,0,0,"linear","linear2",5
4789,2,0.2,0.0488216347812945,1,0,0,0,0,0,"linear","linear2",5
4793,2,0.2,0.992413779320371,0,0,0,0,0,0,"linear","linear2",5
4797,2,0.2,0.717500735245401,0,0,0,0,0,0,"linear","linear2",5
4801,2,0.2,0.680816002414181,0,0,0,0,0,0,"linear","linear2",5
4805,2,0.2,0.410995453646677,0,0,0,0,0,0,"linear","linear2",5
4809,2,0.2,0.423661200301114,0,0,0,0,0,0,"linear","linear2",5
4813,2,0.2,0.928907651610065,0,0,0,0,0,0,"linear","linear2",5
4817,2,0.2,0.415716549880552,0,0,0,0,0,0,"linear","linear2",5
4821,2,0.2,0.448519112351912,0,0,0,0,0,0,"linear","linear2",5
4825,2,0.2,0.137127730073274,0,0,0,0,0,0,"linear","linear2",5
4829,2,0.2,0.693245067588847,0,0,0,0,0,0,"linear","linear2",5
4833,2,0.2,0.922812744724165,0,0,0,0,0,0,"linear","linear2",5
4837,2,0.2,0.196666056833482,0,0,0,0,0,0,"linear","linear2",5
4841,2,0.2,0.395936337050525,0,0,0,0,0,0,"linear","linear2",5
4845,2,0.2,0.382835104204491,0,0,0,0,0,0,"linear","linear2",5
4849,2,0.2,0.889061808175072,0,0,0,0,0,0,"linear","linear2",5
4853,2,0.2,0.786014230636107,0,0,0,0,0,0,"linear","linear2",5
4857,2,0.2,0.295446824417229,0,0,0,0,0,0,"linear","linear2",5
4861,2,0.2,0.30490444461326,0,0,0,0,0,0,"linear","linear2",5
4865,2,0.2,0.48407530891794,0,0,0,0,0,0,"linear","linear2",5
4869,2,0.2,0.519725412017802,0,0,0,0,0,0,"linear","linear2",5
4873,2,0.2,0.366224897452113,0,0,0,0,0,0,"linear","linear2",5
4877,2,0.2,1,0,0,0,0,0,0,"linear","linear2",5
4881,2,0.2,0.448809515793897,0,0,0,0,0,0,"linear","linear2",5
4885,2,0.2,0.668891875511851,0,0,0,0,0,0,"linear","linear2",5
4889,2,0.2,0.491695069008339,0,0,0,0,0,0,"linear","linear2",5
4893,2,0.2,0.623794850428438,0,0,0,0,0,1,"linear","linear2",5
4897,2,0.2,0.546562128925059,0,0,0,0,0,0,"linear","linear2",5
4901,2,0.2,0.153765234396762,0,0,0,0,0,0,"linear","linear2",5
4905,2,0.2,0.73389865634131,0,0,0,0,0,0,"linear","linear2",5
4909,2,0.2,0.523094372199585,0,0,0,0,0,0,"linear","linear2",5
4913,2,0.2,0.112963438175278,0,0,0,0,0,0,"linear","linear2",5
4917,2,0.2,0.784082816505661,0,0,0,0,0,0,"linear","linear2",5
4921,2,0.2,0.423721026914539,0,0,0,0,0,0,"linear","linear2",5
4925,2,0.2,0.686674997979988,0,0,0,0,0,0,"linear","linear2",5
4929,2,0.2,0.712147364234563,0,0,0,0,0,0,"linear","linear2",5
4933,2,0.2,0.397793563904132,0,0,0,0,0,0,"linear","linear2",5
4937,2,0.2,0.0172589437828704,1,0,0,0,0,0,"linear","linear2",5
4941,2,0.2,0.202710954446559,0,0,0,0,0,0,"linear","linear2",5
4945,2,0.2,0.638036969451923,0,0,0,0,0,0,"linear","linear2",5
4949,2,0.2,0.240486706660472,0,0,0,0,0,0,"linear","linear2",5
4953,2,0.2,0.133439107386398,0,0,0,0,0,0,"linear","linear2",5
4957,2,0.2,0.253570675794664,0,0,0,0,0,0,"linear","linear2",5
4961,2,0.2,0.0875824890471401,0,0,0,0,0,0,"linear","linear2",5
4965,2,0.2,0.0662591489254537,0,0,0,0,0,0,"linear","linear2",5
4969,2,0.2,0.00692311490941405,1,0,0,0,0,0,"linear","linear2",5
4973,2,0.2,0.0279370567086511,1,0,0,0,0,0,"linear","linear2",5
4977,2,0.2,0.557319129119085,0,0,0,0,0,0,"linear","linear2",5
4981,2,0.2,0.429627384055815,0,0,0,0,0,0,"linear","linear2",5
4985,2,0.2,0.922325173971832,0,0,0,0,0,0,"linear","linear2",5
4989,2,0.2,0.884660500001401,0,0,0,0,0,0,"linear","linear2",5
4993,2,0.2,0.0344796896116597,1,0,0,0,0,0,"linear","linear2",5
4997,2,0.2,0.684378900652489,0,0,0,0,0,0,"linear","linear2",5
5001,2,0.2,0.426844585601614,0,0,0,0,0,0,"linear","linear2",5
5005,2,0.2,0.353184879501599,0,0,0,0,0,0,"linear","linear2",5
5009,2,0.2,0.71987888369295,0,0,0,0,0,0,"linear","linear2",5
5013,2,0.2,0.108078793262134,0,0,0,0,0,0,"linear","linear2",5
5017,2,0.2,0.996236442636533,0,0,0,0,0,0,"linear","linear2",5
5021,2,0.2,0.036330301525085,1,0,0,0,0,0,"linear","linear2",5
5025,2,0.2,0.707026034312911,0,0,0,0,0,0,"linear","linear2",5
5029,2,0.2,0.0162309095926674,1,0,0,0,0,0,"linear","linear2",5
