"sampleID","param","error","scam_p","scam_u","quad_u","rmax_u","rmed_u","rprop_u","lines3_u","func"
521,6,0.2,0.000118124242312337,1,1,1,1,1,0,"beta"
525,6,0.2,0.00309572742328647,1,1,1,1,1,0,"beta"
529,6,0.2,6.86168799184294e-06,1,1,1,1,1,0,"beta"
533,6,0.2,1.2089538837907e-07,1,1,1,1,1,0,"beta"
537,6,0.2,0.000957362827650338,1,1,1,1,1,0,"beta"
541,6,0.2,0.000111532933393645,1,1,1,1,1,0,"beta"
545,6,0.2,1.79318602471842e-05,1,1,1,1,1,0,"beta"
549,6,0.2,1.2126301680279e-09,1,1,1,1,1,0,"beta"
553,6,0.2,0.000224182350838821,1,1,1,1,1,0,"beta"
557,6,0.2,1.80250921754577e-09,1,1,1,1,1,0,"beta"
561,6,0.2,1.75721154633876e-09,1,1,1,1,1,0,"beta"
565,6,0.2,3.12232889727262e-05,1,1,1,1,1,0,"beta"
569,6,0.2,0.00391219405828172,1,1,1,1,1,0,"beta"
573,6,0.2,4.72264417176866e-06,1,1,1,1,1,0,"beta"
577,6,0.2,8.77103310531594e-05,1,1,1,1,1,0,"beta"
581,6,0.2,0.000261728607454328,1,1,1,1,1,0,"beta"
585,6,0.2,0.000263833329582288,1,1,1,1,1,0,"beta"
589,6,0.2,0.00221658222138288,1,1,1,1,1,0,"beta"
593,6,0.2,2.35334133690222e-05,1,1,1,1,1,0,"beta"
597,6,0.2,0.000655613489584718,1,1,1,1,1,0,"beta"
601,6,0.2,0.0027319991721665,1,1,1,1,1,0,"beta"
605,6,0.2,5.09196349965447e-09,1,1,1,1,1,0,"beta"
609,6,0.2,0.000256182772445118,1,1,1,1,1,0,"beta"
613,6,0.2,0.000184058669312289,1,1,1,1,1,0,"beta"
617,6,0.2,2.41966594121194e-05,1,1,1,1,1,0,"beta"
621,6,0.2,4.2116067804296e-05,1,1,1,1,1,0,"beta"
625,6,0.2,0.000126956912485583,1,1,1,1,1,0,"beta"
629,6,0.2,2.03314665586066e-05,1,1,1,1,1,0,"beta"
633,6,0.2,5.16756512985e-06,1,1,1,1,1,0,"beta"
637,6,0.2,0.000970167596526734,1,1,1,1,1,0,"beta"
641,6,0.2,0.000545653723206623,1,1,1,1,1,0,"beta"
645,6,0.2,2.55793083190205e-07,1,1,1,1,1,0,"beta"
649,6,0.2,1.37548305390776e-06,1,1,1,1,1,0,"beta"
653,6,0.2,8.5127397934289e-06,1,1,1,1,1,0,"beta"
657,6,0.2,0.00108909941483337,1,1,1,1,1,0,"beta"
661,6,0.2,0.000380895262233899,1,1,1,1,1,0,"beta"
665,6,0.2,1.33484796147384e-05,1,1,1,1,1,0,"beta"
669,6,0.2,0.000256136063007337,1,1,1,1,1,0,"beta"
673,6,0.2,3.1046756319089e-05,1,1,1,1,1,0,"beta"
677,6,0.2,0.000558912328968958,1,1,1,1,1,0,"beta"
681,6,0.2,0.0195869388255021,1,1,1,1,1,0,"beta"
685,6,0.2,0.00478720700156583,1,1,1,1,1,0,"beta"
689,6,0.2,2.11351684688728e-06,1,1,1,1,1,0,"beta"
693,6,0.2,8.71242328658697e-12,1,1,1,1,1,0,"beta"
